Nombre_bottom,Cantidad_Imágenes,Imagen1,Imagen2,Imagen3,Imagen4
AFTERLIFE ISLAND,2,"https://res.cloudinary.com/maaji/image/upload/v1527607060/Summer2018/2187SBC01_2187SDC01_black_1.jpg

",https://res.cloudinary.com/maaji/image/upload/v1527607061/Summer2018/2187SBC01_2187SDC01_black_2.jpg,,
AMARANTH MULATTA,2,"https://res.cloudinary.com/maaji/image/upload/v1528390810/Spring2018/2111SOB01_2111SOC01_purple_3.jpg

",https://res.cloudinary.com/maaji/image/upload/v1528390813/Spring2018/2111SOB01_2111SOC01_purple_4.jpg,,
WHEELS AND FRILLS,2,"https://res.cloudinary.com/maaji/image/upload/v1527192484/Summer2018/2062SBC11_2062SCC11_blue_1.jpg
",https://res.cloudinary.com/maaji/image/upload/v1527192488/Summer2018/2062SBC11_2062SCC11_blue_2.jpg,,
WAYUU ALLURE,2,https://res.cloudinary.com/maaji/image/upload/v1527194583/Summer2018/2114SAC03_2114SBC03_red_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1527194588/Summer2018/2114SAC03_2114SBC03_red_2.jp,,
AMAZON RIVER,2,https://res.cloudinary.com/maaji/image/upload/v1528403551/Spring2018/2130SCC01_blue_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1528403552/Spring2018/2130SCC01_blue_2.jpg,,
TOOCOOL FORSCHOOL,2,"https://res.cloudinary.com/maaji/image/upload/v1528470856/HigSummer2018/2194SBC01_2194SDC01_yellow_1.jpg
",https://res.cloudinary.com/maaji/image/upload/v1528470857/HigSummer2018/2194SBC01_2194SDC01_yellow_2.jpg,,
AMERICAN FLAMINGOS,2,"https://res.cloudinary.com/maaji/image/upload/v1527190935/Summer2018/2061SBC04_2061SCC04_blue_1.jpg

",https://res.cloudinary.com/maaji/image/upload/v1527190940/Summer2018/2061SBC04_2061SCC04_blue_2.jpg,,
ANDALUSIA FRILLS,2,"https://res.cloudinary.com/maaji/image/upload/v1527263239/Summer2018/2172SBC01_2172SDC01_red_1.jpg

",https://res.cloudinary.com/maaji/image/upload/v1527263242/Summer2018/2172SBC01_2172SDC01_red_2.jpg,,
TEMPO DUSK,2,"https://res.cloudinary.com/maaji/image/upload/v1527176290/Summer2018/2023SBC01_2023SCC01_orange_1.jpg

",https://res.cloudinary.com/maaji/image/upload/v1527176294/Summer2018/2023SBC01_2023SCC01_orange_2.jpg,,
ANDES FOLIAGE,2,"https://res.cloudinary.com/maaji/image/upload/v1528389788/Spring2018/2047SAC02_2047SBC02_blue_1.jpg

",https://res.cloudinary.com/maaji/image/upload/v1528389788/Spring2018/2047SAC02_2047SBC02_blue_2.jpg,,
ARAWAKS ROCKS,2,"https://res.cloudinary.com/maaji/image/upload/v1527096924/Summer2018/2062SBC10_2062SDC10_blue_1.jpg

",https://res.cloudinary.com/maaji/image/upload/v1527096929/Summer2018/2062SBC10_2062SDC10_blue_2.jpg,,
ARUSI MERLOT,2,"https://res.cloudinary.com/maaji/image/upload/v1528398416/Spring2018/2120SAC01_2120SBC01_purple_1.jpg

",https://res.cloudinary.com/maaji/image/upload/v1528398417/Spring2018/2120SAC01_2120SBC01_purple_2.jpg,,
BALLERINA ORNATE,4,"https://res.cloudinary.com/maaji/image/upload/v1527885346/Summer2018/3052SBC03_3052SDC03_pink_1.jpg


",https://res.cloudinary.com/maaji/image/upload/v1527885346/Summer2018/3052SBC03_3052SDC03_pink_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1527885347/Summer2018/3052SBC03_3052SDC03_pink_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1527885348/Summer2018/3052SBC03_3052SDC03_pink_6.jpg
SUNNY RIDES,2,"https://res.cloudinary.com/maaji/image/upload/v1527191626/Summer2018/2061SBC05_2061SDC05_blue_1.jpg
",https://res.cloudinary.com/maaji/image/upload/v1527191630/Summer2018/2061SBC05_2061SDC05_blue_2.jpg,,
BALLERINA SUBLIME,3,"https://res.cloudinary.com/maaji/image/upload/v1527612412/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_1.jpg

",https://res.cloudinary.com/maaji/image/upload/v1527612412/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1527612413/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_5.jpg,
SUNDOWN SOCIETY,4,"https://res.cloudinary.com/maaji/image/upload/v1527193145/Summer2018/2110SBC03_2110SDC03_orange_1.jpg


",https://res.cloudinary.com/maaji/image/upload/v1527193149/Summer2018/2110SBC03_2110SDC03_orange_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1527193153/Summer2018/2110SBC03_2110SDC03_orange_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1527193157/Summer2018/2110SBC03_2110SDC03_orange_6.jpg
