Item,ItemDescription,TaxCode
3062sba05_rosado_lg,SWIMWEAR TOPS,PC040106
3062sba05_rosado_md,SWIMWEAR TOPS,PC040106
3062sba05_rosado_sm,SWIMWEAR TOPS,PC040106
3062sba05_rosado_xl,SWIMWEAR TOPS,PC040106
3079sbc08_rosado_lg,SWIMWEAR BOTTOMS,PC040106
3079sbc08_rosado_md,SWIMWEAR BOTTOMS,PC040106
3079sbc08_rosado_sm,SWIMWEAR BOTTOMS,PC040106
3079sbc08_rosado_xs,SWIMWEAR BOTTOMS,PC040106
3079scc08_rosado_lg,SWIMWEAR BOTTOMS,PC040106
3079scc08_rosado_md,SWIMWEAR BOTTOMS,PC040106
3079scc08_rosado_sm,SWIMWEAR BOTTOMS,PC040106
3079scc08_rosado_xs,SWIMWEAR BOTTOMS,PC040106
3149sbr01_rosado_lg,SWIMWEAR TOPS,PC040106
3149sbr01_rosado_md,SWIMWEAR TOPS,PC040106
3149sbr01_rosado_sm,SWIMWEAR TOPS,PC040106
3149sbr01_rosado_xl,SWIMWEAR TOPS,PC040106
3007sac46_rosado_lg,SWIMWEAR BOTTOMS,PC040106
3007sac46_rosado_md,SWIMWEAR BOTTOMS,PC040106
3007sac46_rosado_sm,SWIMWEAR BOTTOMS,PC040106
3007sac46_rosado_xl,SWIMWEAR BOTTOMS,PC040106
3007sac46_rosado_xs,SWIMWEAR BOTTOMS,PC040106
3007sbc46_rosado_lg,SWIMWEAR BOTTOMS,PC040106
3007sbc46_rosado_md,SWIMWEAR BOTTOMS,PC040106
3007sbc46_rosado_sm,SWIMWEAR BOTTOMS,PC040106
3007sbc46_rosado_xl,SWIMWEAR BOTTOMS,PC040106
3007sbc46_rosado_xs,SWIMWEAR BOTTOMS,PC040106
3007scc46_rosado_lg,SWIMWEAR BOTTOMS,PC040106
3007scc46_rosado_md,SWIMWEAR BOTTOMS,PC040106
3007scc46_rosado_sm,SWIMWEAR BOTTOMS,PC040106
3007scc46_rosado_xl,SWIMWEAR BOTTOMS,PC040106
3007scc46_rosado_xs,SWIMWEAR BOTTOMS,PC040106
3007sdc46_rosado_lg,SWIMWEAR BOTTOMS,PC040106
3007sdc46_rosado_md,SWIMWEAR BOTTOMS,PC040106
3007sdc46_rosado_sm,SWIMWEAR BOTTOMS,PC040106
3007sdc46_rosado_xl,SWIMWEAR BOTTOMS,PC040106
3007sdc46_rosado_xs,SWIMWEAR BOTTOMS,PC040106
3054sbr01_azul_lg,SWIMWEAR TOPS,PC040106
3054sbr01_azul_md,SWIMWEAR TOPS,PC040106
3054sbr01_azul_sm,SWIMWEAR TOPS,PC040106
3054sbr01_azul_xl,SWIMWEAR TOPS,PC040106
3007sac47_azul_lg,SWIMWEAR BOTTOMS,PC040106
3007sac47_azul_md,SWIMWEAR BOTTOMS,PC040106
3007sac47_azul_sm,SWIMWEAR BOTTOMS,PC040106
3007sac47_azul_xl,SWIMWEAR BOTTOMS,PC040106
3007sac47_azul_xs,SWIMWEAR BOTTOMS,PC040106
3007sbc47_azul_lg,SWIMWEAR BOTTOMS,PC040106
3007sbc47_azul_md,SWIMWEAR BOTTOMS,PC040106
3007sbc47_azul_sm,SWIMWEAR BOTTOMS,PC040106
3007sbc47_azul_xl,SWIMWEAR BOTTOMS,PC040106
3007sbc47_azul_xs,SWIMWEAR BOTTOMS,PC040106
3007sdc47_azul_lg,SWIMWEAR BOTTOMS,PC040106
3007sdc47_azul_md,SWIMWEAR BOTTOMS,PC040106
3007sdc47_azul_sm,SWIMWEAR BOTTOMS,PC040106
3007sdc47_azul_xl,SWIMWEAR BOTTOMS,PC040106
3007sdc47_azul_xs,SWIMWEAR BOTTOMS,PC040106
3048sun10_azul_lg,SWIMWEAR TOPS,PC040106
3048sun10_azul_md,SWIMWEAR TOPS,PC040106
3048sun10_azul_sm,SWIMWEAR TOPS,PC040106
3048sun10_azul_xl,SWIMWEAR TOPS,PC040106
3075scc05_azul_lg,SWIMWEAR BOTTOMS,PC040106
3075scc05_azul_md,SWIMWEAR BOTTOMS,PC040106
3075scc05_azul_sm,SWIMWEAR BOTTOMS,PC040106
3075scc05_azul_xs,SWIMWEAR BOTTOMS,PC040106
3147sbr01_azul_lg,SWIMWEAR TOPS,PC040106
3147sbr01_azul_md,SWIMWEAR TOPS,PC040106
3147sbr01_azul_sm,SWIMWEAR TOPS,PC040106
3147sbr01_azul_xl,SWIMWEAR TOPS,PC040106
3148sbc02_rosado_lg,SWIMWEAR BOTTOMS,PC040106
3148sbc02_rosado_md,SWIMWEAR BOTTOMS,PC040106
3148sbc02_rosado_sm,SWIMWEAR BOTTOMS,PC040106
3148sbc02_rosado_xs,SWIMWEAR BOTTOMS,PC040106
3148scc02_rosado_lg,SWIMWEAR BOTTOMS,PC040106
3148scc02_rosado_md,SWIMWEAR BOTTOMS,PC040106
3148scc02_rosado_sm,SWIMWEAR BOTTOMS,PC040106
3148scc02_rosado_xs,SWIMWEAR BOTTOMS,PC040106
3150sfh01_multicolor_lg,SWIMWEAR TOPS,PC040106
3150sfh01_multicolor_md,SWIMWEAR TOPS,PC040106
3150sfh01_multicolor_sm,SWIMWEAR TOPS,PC040106
3150sfh01_multicolor_xl,SWIMWEAR TOPS,PC040106
3151sdc01_multicolor_lg,SWIMWEAR BOTTOMS,PC040106
3151sdc01_multicolor_md,SWIMWEAR BOTTOMS,PC040106
3151sdc01_multicolor_sm,SWIMWEAR BOTTOMS,PC040106
3151sdc01_multicolor_xs,SWIMWEAR BOTTOMS,PC040106
2208sse04_multicolor_lg,SWIMWEAR TOPS,PC040106
2208sse04_multicolor_md,SWIMWEAR TOPS,PC040106
2208sse04_multicolor_sm,SWIMWEAR TOPS,PC040106
2208sse04_multicolor_xl,SWIMWEAR TOPS,PC040106
2130sbc05_azul_lg,SWIMWEAR BOTTOMS,PC040106
2130sbc05_azul_md,SWIMWEAR BOTTOMS,PC040106
2130sbc05_azul_sm,SWIMWEAR BOTTOMS,PC040106
2130sbc05_azul_xs,SWIMWEAR BOTTOMS,PC040106
2130scc05_azul_lg,SWIMWEAR BOTTOMS,PC040106
2130scc05_azul_md,SWIMWEAR BOTTOMS,PC040106
2130scc05_azul_sm,SWIMWEAR BOTTOMS,PC040106
2130scc05_azul_xs,SWIMWEAR BOTTOMS,PC040106
2315sba02_multicolor_lg,SWIMWEAR TOPS,PC040106
2315sba02_multicolor_md,SWIMWEAR TOPS,PC040106
2315sba02_multicolor_sm,SWIMWEAR TOPS,PC040106
2315sba02_multicolor_xl,SWIMWEAR TOPS,PC040106
2201sbc02_multicolor_lg,SWIMWEAR BOTTOMS,PC040106
2201sbc02_multicolor_md,SWIMWEAR BOTTOMS,PC040106
2201sbc02_multicolor_sm,SWIMWEAR BOTTOMS,PC040106
2201sbc02_multicolor_xs,SWIMWEAR BOTTOMS,PC040106
2201scc02_multicolor_lg,SWIMWEAR BOTTOMS,PC040106
2201scc02_multicolor_md,SWIMWEAR BOTTOMS,PC040106
2201scc02_multicolor_sm,SWIMWEAR BOTTOMS,PC040106
2201scc02_multicolor_xs,SWIMWEAR BOTTOMS,PC040106
2214sbr01_azul_lg,SWIMWEAR TOPS,PC040106
2214sbr01_azul_md,SWIMWEAR TOPS,PC040106
2214sbr01_azul_sm,SWIMWEAR TOPS,PC040106
2214sbr01_azul_xl,SWIMWEAR TOPS,PC040106
2062sbc21_azul_lg,SWIMWEAR BOTTOMS,PC040106
2062sbc21_azul_md,SWIMWEAR BOTTOMS,PC040106
2062sbc21_azul_sm,SWIMWEAR BOTTOMS,PC040106
2062sbc21_azul_xs,SWIMWEAR BOTTOMS,PC040106
2062scc21_azul_lg,SWIMWEAR BOTTOMS,PC040106
2062scc21_azul_md,SWIMWEAR BOTTOMS,PC040106
2062scc21_azul_sm,SWIMWEAR BOTTOMS,PC040106
2062scc21_azul_xs,SWIMWEAR BOTTOMS,PC040106
2205soc01_multicolor_lg,ONE PIECE SWIMWEAR,PC040106
2205soc01_multicolor_md,ONE PIECE SWIMWEAR,PC040106
2205soc01_multicolor_sm,ONE PIECE SWIMWEAR,PC040106
2305ssh01_azul_lg,SWIMWEAR TOPS,PC040106
2305ssh01_azul_md,SWIMWEAR TOPS,PC040106
2305ssh01_azul_sm,SWIMWEAR TOPS,PC040106
2305ssh01_azul_xl,SWIMWEAR TOPS,PC040106
2219sbc03_multicolor_lg,SWIMWEAR BOTTOMS,PC040106
2219sbc03_multicolor_md,SWIMWEAR BOTTOMS,PC040106
2219sbc03_multicolor_sm,SWIMWEAR BOTTOMS,PC040106
2219sbc03_multicolor_xs,SWIMWEAR BOTTOMS,PC040106
2219sdc03_multicolor_lg,SWIMWEAR BOTTOMS,PC040106
2219sdc03_multicolor_md,SWIMWEAR BOTTOMS,PC040106
2219sdc03_multicolor_sm,SWIMWEAR BOTTOMS,PC040106
2219sdc03_multicolor_xs,SWIMWEAR BOTTOMS,PC040106
2307sse02_multicolor_lg,SWIMWEAR TOPS,PC040106
2307sse02_multicolor_md,SWIMWEAR TOPS,PC040106
2307sse02_multicolor_sm,SWIMWEAR TOPS,PC040106
2307sse02_multicolor_xl,SWIMWEAR TOPS,PC040106
2325sbc02_multicolor_lg,SWIMWEAR BOTTOMS,PC040106
2325sbc02_multicolor_md,SWIMWEAR BOTTOMS,PC040106
2325sbc02_multicolor_sm,SWIMWEAR BOTTOMS,PC040106
2325sbc02_multicolor_xs,SWIMWEAR BOTTOMS,PC040106
2325scc02_multicolor_lg,SWIMWEAR BOTTOMS,PC040106
2325scc02_multicolor_md,SWIMWEAR BOTTOMS,PC040106
2325scc02_multicolor_sm,SWIMWEAR BOTTOMS,PC040106
2325scc02_multicolor_xs,SWIMWEAR BOTTOMS,PC040106
2337sun01_multicolor_lg,SWIMWEAR TOPS,PC040106
2337sun01_multicolor_md,SWIMWEAR TOPS,PC040106
2337sun01_multicolor_sm,SWIMWEAR TOPS,PC040106
2337sun01_multicolor_xl,SWIMWEAR TOPS,PC040106
2247sac05_azul_lg,SWIMWEAR BOTTOMS,PC040106
2247sac05_azul_md,SWIMWEAR BOTTOMS,PC040106
2247sac05_azul_sm,SWIMWEAR BOTTOMS,PC040106
2247sac05_azul_xl,SWIMWEAR BOTTOMS,PC040106
2247sac05_azul_xs,SWIMWEAR BOTTOMS,PC040106
2247sbc05_azul_lg,SWIMWEAR BOTTOMS,PC040106
2247sbc05_azul_md,SWIMWEAR BOTTOMS,PC040106
2247sbc05_azul_sm,SWIMWEAR BOTTOMS,PC040106
2247sbc05_azul_xl,SWIMWEAR BOTTOMS,PC040106
2247sbc05_azul_xs,SWIMWEAR BOTTOMS,PC040106
2204sbr04_multicolor_lg,SWIMWEAR TOPS,PC040106
2204sbr04_multicolor_md,SWIMWEAR TOPS,PC040106
2204sbr04_multicolor_sm,SWIMWEAR TOPS,PC040106
2204sbr04_multicolor_xl,SWIMWEAR TOPS,PC040106
2024sbc15_rosado_lg,SWIMWEAR BOTTOMS,PC040106
2024sbc15_rosado_md,SWIMWEAR BOTTOMS,PC040106
2024sbc15_rosado_sm,SWIMWEAR BOTTOMS,PC040106
2024sbc15_rosado_xs,SWIMWEAR BOTTOMS,PC040106
2024sdc15_rosado_lg,SWIMWEAR BOTTOMS,PC040106
2024sdc15_rosado_md,SWIMWEAR BOTTOMS,PC040106
2024sdc15_rosado_sm,SWIMWEAR BOTTOMS,PC040106
2024sdc15_rosado_xs,SWIMWEAR BOTTOMS,PC040106
2300scm01_multicolor_lg,SWIMWEAR TOPS,PC040106
2300scm01_multicolor_md,SWIMWEAR TOPS,PC040106
2300scm01_multicolor_sm,SWIMWEAR TOPS,PC040106
2300scm01_multicolor_xl,SWIMWEAR TOPS,PC040106
2301sbc01_rosado_lg,SWIMWEAR BOTTOMS,PC040106
2301sbc01_rosado_md,SWIMWEAR BOTTOMS,PC040106
2301sbc01_rosado_sm,SWIMWEAR BOTTOMS,PC040106
2301sbc01_rosado_xs,SWIMWEAR BOTTOMS,PC040106
2301scc01_rosado_lg,SWIMWEAR BOTTOMS,PC040106
2301scc01_rosado_md,SWIMWEAR BOTTOMS,PC040106
2301scc01_rosado_sm,SWIMWEAR BOTTOMS,PC040106
2301scc01_rosado_xs,SWIMWEAR BOTTOMS,PC040106
2304sbr01_multicolor_lg,SWIMWEAR TOPS,PC040106
